URL,Date,Tweet,ID,Replies,Retweets,Likes,Quotes,Conv. ID,Language,Links,Media,Retweeted Tweet,Bookmarks,Username
https://twitter.com/OmJ_JeNggot/status/1666371572532391936,2023-06-07 09:08:37+00:00,"Asli bener omongane arek iki..
🤣
Ibu Hamil Lewat jalan Rusak di Jateng Bisa Langsung Melahirkan 

Apa benar Begitu den @ganjarpranowo ? https://t.co/9IoJ3OcQ7f",1666371572532391936,0,4,11,1,1666371572532391936,in,,,,1,OmJ_JeNggot
https://twitter.com/kompascom/status/1668872282499084289,2023-06-14 06:45:32+00:00,"Dalam perjalanan ke rumah sakit, mobil ambulans yang membawa Tika terjebak di dalam lubang selama enam jam akibat jalan rusak. https://t.co/t0P7LsW6lq",1668872282499084289,0,2,4,1,1668872282499084289,in,http://dlvr.it/Sqf5RM,,,0,kompascom
https://twitter.com/cyrustimes_/status/1669219594794586113,2023-06-15 05:45:38+00:00,"Gimana pendapat kalian?

Apakah harus menunggu seperti di lampung?

#jalanrusak #karangmulya #pangkalanbanteng #kotawaringinbarat #kobar #kalimantantengah https://t.co/AyKjoBauIj",1669219594794586113,0,0,0,0,1669219594794586113,in,,,,0,cyrustimes_
https://twitter.com/EcViesa/status/1665986084231327744,2023-06-06 07:36:49+00:00,Jalan lingkar desa rusak patah https://t.co/X7ezNxKCIg,1665986084231327744,0,0,0,0,1665986084231327744,in,,,,0,EcViesa
https://twitter.com/GanjarMerakyat/status/1667451429290909698,2023-06-10 08:39:35+00:00,"Pak Ganjar itu memperbaiki jalan yang rusak, bukan merusak jalan yang sudah baik kaya Pak Anies lewat program sumur resapan itu 

Depok Kaesang Pangarep Demokrat Tasyi Inter Milan Cherrybelle https://t.co/T5DrDcmV2a",1667451429290909698,5,64,113,0,1667451429290909698,in,,,,0,GanjarMerakyat
https://twitter.com/detikcom/status/1668571413748527105,2023-06-13 10:50:00+00:00,"Proses perbaikan jalan rusak di Kranji, Kota Bekasi, kini sudah rampung. Bopeng-bopeng di jalan itu sudah tertutup oleh lapisan jalan yang baru. https://t.co/2cwAJEUzWb",1668571413748527105,1,4,13,0,1668571413748527105,in,https://news.detik.com/berita/d-6770308/perbaikan-selesai-jalan-rusak-di-kranji-kini-mulus?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikcom,,,0,detikcom
https://twitter.com/halloriau/status/1669287422461620224,2023-06-15 10:15:10+00:00,"Pekanbaru Memasuki Usia ke-239, DPRD Minta Persoalan Banjir Hingga Jalan Rusak Dituntaskan https://t.co/s13gOqeumv",1669287422461620224,0,0,0,0,1669287422461620224,in,http://dlvr.it/SqjSZz,,,0,halloriau
https://twitter.com/yagituder/status/1667870042292391937,2023-06-11 12:23:00+00:00,"@jogmfs Masih aman itu, dulu gue lewat jalan rusak udah agak gelap cuma utk liat ini sunset Pantai jungwok. https://t.co/IUVsx6A69p",1667870042292391937,0,0,2,0,1667755985329594369,in,,https://pbs.twimg.com/media/FyV29Q7aYAEjXGT?format=jpg&name=orig,,0,yagituder
https://twitter.com/Koramil05P/status/1668822957668589568,2023-06-14 03:29:32+00:00,Anggota Koramil 12/Gondomanan Ikut Serta Melaksanakan Pemantauan Dan Perbaikan Jalan Rusak https://t.co/lOWc8E7ogg,1668822957668589568,0,0,0,0,1668822957668589568,in,,https://pbs.twimg.com/media/FyjZoXSaQAAZeKV?format=jpg&name=orig,,0,Koramil05P
https://twitter.com/jawapos/status/1669152523717087233,2023-06-15 01:19:07+00:00,Ratusan Titik Pipa Air Rusak Dampak Pelebaran Jalan Nasional https://t.co/Hi9WRmffWa,1669152523717087233,0,0,0,1,1669152523717087233,in,https://radarbromo.jawapos.com/daerah/probolinggo/15/06/2023/ratusan-titik-pipa-air-rusak-dampak-pelebaran-jalan-nasional/,,,0,jawapos
